"nuvirdi";"teg_eign";"matssvaedi";"ibm2"
13889;"Íbúðareign";91;49.7
12866;"Íbúðareign";161;73.3
40366;"Íbúðareign";20;129.7
16224;"Íbúðareign";160;85.3
23493;"Íbúðareign";180;103.4
21289;"Íbúðareign";11;79
16139;"Íbúðareign";160;64.3
34230;"Íbúðareign";100;127.5
27247;"Íbúðareign";80;72.6
20479;"Íbúðareign";90;68.8
16884;"Íbúðareign";91;82.5
28963;"Íbúðareign";100;106.5
15695;"Íbúðareign";20;52.4
13000;"Íbúðareign";160;53.2
17949;"Íbúðareign";160;57.5
18296;"Íbúðareign";90;78.1
27272;"Íbúðareign";270;104.1
16516;"Íbúðareign";80;40.5
19210;"Íbúðareign";90;63.1
41829;"Íbúðareign";90;124.2
35710;"Íbúðareign";90;103.3
15483;"Íbúðareign";200;78.4
14245;"Íbúðareign";200;62.5
23336;"Íbúðareign";90;68.8
30942;"Íbúðareign";90;97.5
23500;"Íbúðareign";20;90.8
10952;"Íbúðareign";170;56.4
18485;"Íbúðareign";170;101.7
53227;"Einbýlishús";150;184.7
25191;"Íbúðareign";80;100.4
23426;"Íbúðareign";150;126.7
16012;"Íbúðareign";20;56.7
76097;"Einbýlishús";120;304.6
19993;"Íbúðareign";100;82
24282;"Íbúðareign";100;94.4
37934;"Íbúðareign";100;128.2
22364;"Íbúðareign";100;100.8
33500;"Íbúðareign";20;119.7
22448;"Íbúðareign";85;80.9
14972;"Íbúðareign";80;54.7
17700;"Íbúðareign";25;85.5
13975;"Íbúðareign";20;45.2
15677;"Íbúðareign";25;44.1
16758;"Íbúðareign";90;56.3
18686;"Íbúðareign";170;102.2
14535;"Íbúðareign";100;59.1
19500;"Íbúðareign";161;105.9
17987;"Íbúðareign";150;113.9
23145;"Íbúðareign";100;95.4
18000;"Íbúðareign";72;62.2
22907;"Íbúðareign";120;107.3
34260;"Íbúðareign";280;86.2
46429;"Einbýlishús";150;216.3
20217;"Íbúðareign";130;70.6
15486;"Íbúðareign";100;55.2
20473;"Íbúðareign";72;69.6
21489;"Íbúðareign";100;62.8
18494;"Íbúðareign";120;92.4
22979;"Íbúðareign";80;109.2
24212;"Íbúðareign";130;104.3
32000;"Íbúðareign";100;130.5
23800;"Íbúðareign";130;91.5
17589;"Íbúðareign";283;63
28542;"Íbúðareign";180;119.1
27564;"Íbúðareign";283;110.1
13971;"Íbúðareign";100;73.3
19085;"Íbúðareign";90;78.1
22358;"Íbúðareign";280;81.4
21949;"Íbúðareign";110;93.1
24193;"Íbúðareign";72;87.7
16077;"Íbúðareign";130;67.7
27008;"Íbúðareign";20;100
17248;"Íbúðareign";70;69.1
